"text","y"
"A ditzy girl (yes, ditzy is about as complex as her character gets) won't take no for an answer and does quirky things to get her husband back. It's too far-fetched to be believable with such flimsy characters going through the motions. But not far-fetched enough to be fascinating in the way that say, Being John Malkovich, was. So it ends up boring.<br /><br />sv",0
"Iam not sure if discussing the television series is exactly where the comments should be drawn to,however it is on the television where the The Lone Ranger really made a name for himself.Iam not even referring to the original radio broadcasts of this masked rider of the plains,Iam though referring to a point where in a little boy, about 9 or 10 years old,I was to see the movie,""The Lone Ranger""and never forgot it.I can recall that I was on a line or we were moving toward the Paramount Theater-the theater was located in the theater district,if I remember correctly.It was directly across,going East to West from the building that has the ball that drops on New Years Eve-This is of course if anybody doesn't know, New York City.High Above the street on the roof tops there was a time and maybe even still today huge billboards would advertise what was being shown and so on.It was at that point in time that I looked up and was never more impressed as I was when I looked at that billboard to see The Lone Ranger across the roof tops-It was great-It made an impression and was never forgotten.That day we went to see The Lone Ranger-It was the story of how the Lone Ranger was born-The terrible ambush that the Texas Rangers rode into and the subsequent rebirth of one of its fallen heroes.It was in this film we learn that The Lone Ranger will not shoot to kill but to injure so as to let the law be the judge.That type of thinking is so worthwhile that we might be good to learn something from history.This is where we learn that Tonto discovers the fallen Ranger and upon seeing the symbol of the boyhood friendship that The Lone Ranger established years earlier when he as a younger person came to the aide of a injured young person in Tonto-For the aide given, Tonto gave to his faithful friend, a symbol of his thanks which now was part of a necklace that Tonto recognized.Tonto said,""you are Kemosabe"".The Lone Ranger said,""kemo-sabe,that is familiar?Then Tonto tells the story of this ""trusty scout""(the meaning of Kemosabe)I think the Lone Ranger is one of the true heroes of the silver screen and one of the great heroes of television.It should also be stated that these very respected individuals Clayton Moore and Jay Silverheels sought to live there lives according to the legend of The Lone Ranger-It may very well be that there is an inspiring story in the story of the Lone Ranger and his faithful companion Tonto.I myself was so pleased by the ability to find and buy the DVDs, that I stayed up all a Saturday morning and watched The many episodes now available.Long Live The Lone Ranger and His faithful companion Tonto-Hi-Ho Silver-",1
"As low budget indies go, you will usually find that you get what you pay for, and let me just say, I didn't pay much for ""Frightworld""...<br /><br />Writer / Director: David R. Williams brings us the story of an abandoned amusement park, besieged by the vengeful spirit of a slain serial killer. Not a bad premise, but executed with a bevy of low budget mistakes. The camera work tries to be too cleaver for it's audience, by constantly using shaky quick-cuts to cover the fact that they really have nothing gory or scary to show us. This becomes evident right off the bat, as we are introduced to the would-be killer, and soon realize that the (acting) is the scariest thing happening... After a painfully long title sequence we are brought back to modern times, yet the acting remains the same. ""Frightworld"" does generate some rather unique cinematography when showing scenery from inside the fun-house, but with an extremely long running time, it can't save the film from it's below average indie hell.<br /><br />There is some mediocre nudity, but not much for gore, which is usually the saving grace for these types of movies.<br /><br />Fans of really bad B-Movies might find something of interest here, otherwise, don't spend a lot of cash.",0
"The characters was as unoriginal it hurts. The little skinny dorky computer geek, the funny African-American with stupid clisché punchlines, cool white guy with a compassion for cars and the handsome leader who ends up with the pretty girl. The actors is at best mediocre. Ecsept from Norton who does a pretty good job as the bad guy. <br /><br />The rest of the movie is also stupid and a total waste of time. Its all in all about a group of spoiled boys using the world as their playground where every safe in a big house is what keeps them with food on the table. I mean, why work for a living when you can rob people?<br /><br />AND,.. Who the f**** messes with the traffic lights in a major European city?!? And in the middle of the FRIGGIN day!? Think of all the damages and not to say deaths among innocent civilians. What about all the ambulances and firetrucks? <br /><br />I created NO compassion for the main characters, and weather Mr Wahlberg gets his bloody gold or not, i could not give less of a fart.",0
"The photography and editing of the movie is exceptional for the time period. Eisenstein builds upon each scene of the movie leading to the the sailor's revolt and the massacre at the town. As much as the movie is a high point in the cinema, it is also an example of SZocialist Realism. by 1925 the Soviet government actively used the arts, including film, as a means to spread the message of the revolution. Eisensteins portrayal of the revolt on the Battleship Potempkin offers the viewer insight into the message of the Soviet elite. Marxist theory and perspectives of class struggle are demonstrated as the sailors who represent the oppressed workers and the officers who represent the elite of society. Much of the film demonstrates the communist party message and how film was used as a tool of propaganda.",1
"warning:It contains spoilers. If a movie starts with a sex scene then it's a bad movie. (see for example 300). This one confirms the above lemma. The second scene constitutes the spinning center of all the action. The fact that we know the end makes the movie boring. Even more, other plots are revealed as the story goes back and forth several times. And this made more frustrated. To compensate the consequent lack of suspense, we learn more and more about how unbalanced are the characters. And oh yes, they have lots to show. Andy (P.Hoffman), for example, is a drug addict, more?, he is cheating his wife, more?, he plans to rob his father, more?, his wife is cheating with his brother, more?, he doesn't regret his complicity to his mother's death, more?, he is a serial killer, more? etc etc it's not enough space to write here... I wonder how could he have a top job. And why his wife didn't leave him before. On the other hand I enjoy much the performances of the actor Hoffman.<br /><br />Even here PSH saves what is left from my 7$ spent for this absurdity. Why absurdity? Because it doesn't have sense, why should I care for the despicable characters? Another broken lemma is that a movie should have a sympathetic( at least pleasant) character. <br /><br />Also it's a lot of sentimentality, for example we are supposed to care for the sufferance of the widowed father without knowing anything about the parents'lives before the crime.",0
"Wow! Fantastic film in my opinion, i wasn't expecting it to be this good! I was captivated from start to finish- it's a very well made and educational film that really gives us a fascinating insight into the trials Darwin had to go through in order to convey his ideas to the world, chronicling his life as he writes ""Origin of the Species""; fighting both personal demons as well as the ignorant society of the time in order to do so. He struggles hard with his mind, body and soul as personal matters get to breaking point and even his family seems to slip away...whilst the rest of the world stand against him as he knows that his findings literally shake the very foundations of their lives, culture and meaning of existence. It's a subtle movie (not over-exaggerated in any way in that typical Hollywood way, this is a BBC produced British film) yet thankfully very powerful in meaning and this is thanks to the amazing well directed scenes as well as the superb acting by Bettany. Connelly acts as more of a light supporting role but I did enjoy her in this and she's as good as to be expected as always, her chemistry alongside her husband was definitely strong and endearing, you could feel the connection, and their real-life husband/wife bond definitely shines through their performances. But the star of the show is definitely Bettany and he does a brilliant job, a very touching performance- i both understood and sympathised with him as he battled his own degrading health and impending ""insanity"" to try to understand what he has uncovered and come to terms with what it all really is and means as he found his thinking contradict his feelings, and found himself losing it all including his wife who of course was a firm believer in religion and a strict Christian whilst he was in the realm of science, two worlds which could not see eye to eye, so their relationship was at stake too.<br /><br />Anyway- a really very good, well acted emotional drama and dare I say I did shed a tear during the tragic climax which was truly heartbreaking as well as beautifully poignant and moving. The film is symbolic and very intellectually artistic as well, in fact i can't wait to watch it again as there was a lot to take in first time round which i missed. Easily one of the best films i've seen this year.",1
"The movie is okay, it has it's moments, the music scenes are the best of all! The soundtrack is a true classic. It's a perfect album, it starts out with Let's Go Crazy(appropriate for the beginning as it's a great party song and very up-tempo), Take Me With U(a fun pop song...), The Beautiful Ones(a cheerful ballad, probably the closest thing to R&B on this whole album), Computer Blue(a somewhat angry anthem towards Appolonia), Darling Nikki(one of the funniest songs ever, it very vaguely makes fun of Appolonia), When Doves Cry(the climax to this masterpiece), I Would Die 4 U, Baby I'm A Star, and, of course, Purple Rain(a true classic, a very appropriate ending for this classic album) The movie and the album are both very good. I highly recommend them!",1
"Upon the first viewing, I found this tale to be at least less annoying than other Cannon Movie Tales. After many more, I think it's one of the best. Some of the songs are pretty bad, especially the love song, but two things stand out that make the movie, even the singing, worthwhile. One is the art direction. Like the other Cannon Movie Tales, this is a beautifully decorated period piece; every piece of cloth and jewel (both of which have major parts in this movie's plot) look fresh and new, and contrast with the plain clothes of the peasants. Even during the love song I find myself studying the dress and hair of the princess, wonderfully done. The other thing is the comic timing. A lot of the movie is cheesy, but the emperor's vanity (and his making fun of himself in the end), the suspicious guard, the guard chasing Nicholas, and the stupid prince, were all quite funny and seem to be ridiculous quite on purpose. And the sequence during the song Weave-O makes up for the songs that weren't so good.",1
"Such a long awaited movie.. But it has disappointed me and my friends who had gone to see the movie on the first day.. From the trailers it looked like a action movie, but it turned out to be a out & out comedy(a bad comedy). But one thing that deserves appreciation is the acting by these professional actors, they've done their part of the movie very well. Good acting, but i don't think that can save the movie.. India has been shot beautifully. Kerala, Rajasthan, (Ladakh?) were all saturated with color, alright. Nevertheless the way the intrinsic beauty of these places was shot made me want to find out exactly where those places were and when I could go there ;-)<br /><br />Action sequences were shot very shabbily, no one could make out head & tail of the stunts, they've used Akki(akshay kumar) very well but could've been done much much better..<br /><br />Animation is the worst i've seen in recent movies(90's movies had better animation scenes i guess(initial scene where the car is falling off 'flying should be better word' the road into lake).<br /><br />And the movies name has been mentioned nearly every 20 to 30 mins, just to make sure audiences don't forget the movie name i guess..",0
"I think that the movie was kind of weird. In the opening scene, a person is killed for no reason. He doesn't get mentioned again. The special effects could have also be better but i enjoyed watching an older horror movie. It isn't the best example of a classic horror movie but it still was an alright movie. I give it about a 5 out of 10 of the scale.",1
"While on a vacation at the beach, red-haired brothers Michael McGreevey and Billy Mumy (as Arthur and Petey Loomis) find a seal. The lads christen their critter ""Sammy"", and spend summertime frolicking with the sandy sea lion. When it's time to go home, the boys begin to suffer separation anxiety. Young Mr. McGreevey decides they can't take ""Sammy"" back to ""Disneyland"" er, ""Gatesville"" - but, young Mr. Mumy packs him anyway. At home, they try to hide ""the Way-out Seal"" from adults, and, of course hijacks ensue! <br /><br />**** Sammy - The Way-out Seal, pt 1 (10/28/62) Norman Tokar ~ Michael McGreevey, Bill Mumy, Robert Culp",0
"'Home Alone 3' is the first of the Home Alone movies not to feature Culkin in the main role and the same villains. However, the plot is very similar to the original 'Home Alone' film. Instead of two comical villains, we get three or four of them. This film involves some traps, but it also has a long scene with a remote-control car. The slapstick humour is consistent as well, but the young boy and the villains really fail to make an impact in this film. (No pun intended.) This film offers nothing new or different than the previous films did, and there really is not the warm, holiday feeling or subplots that the other two films had. It's more of a pure comedy, but it did not succeed in making me laugh as the characters really did not do it for me. I would not recommend this film; it's pretty boring. If you are seeking a good holiday family film with comedy, then watch the original 'Home Alone' movie.",0
"Just as the new BSG wasn't what fans of the original series were expecting, Caprica may not deliver what fans of the new BSG were expecting (for the most part). It is a very interesting, if not somewhat self-involved show, or at least the pilot is.<br /><br />If you're looking for the big CGI thrills of the (new) BSG, you'll be sorely disappointed. If you liked the drama, you'll probably find something you like and maybe even identify with.<br /><br />The storyline does examine on how the Cylons were developed, why Adama hates them and the origins of a monotheistic society. The writers also manage to tackle humans 'playing God(s)' and the creation or re-creation of 'human' life. It will be interesting to see how this plays out.<br /><br />I found it to plod along in some parts and too preachy in others, but all in all it was promising. A small part of me wishes (or hopes) there might be some minor inklings of BSG in there (aside from the back story I mentioned), but that would probably convolute the storyline too much. Like BSG, I'll have to wait and see if Caprica grows on me, but it's way too early to tell.<br /><br />It would really easy to chalk this up as a failure if you compare it to the previous series, but I'm willing to give it a chance. Overall, I thought it was interesting enough to make me see how the actual series is before 'throwing in the (proverbial) towel'.",1
"Honestly I am not THAT impressed by it, it's not a bad movie, but it's not great one either. There's a story to tell, but it's told in a very incoherent way which kinds of makes it loose it's full meaning and ability to intrigue. This movie could of been made in another way with an outstanding result, the story is just so interesting yet somehow I'm not intrigued when watching it. <br /><br />It definitely isn't an amateur movie, rather the opposite and some of the scenes are really emotional. The actors and actresses does quite a good job and so does the director but there's just something so unfinished by the whole movie that I cant quite put my finger on. Perhaps if you had gotten to know the characters abit more, all the 'messiness' of the movie could of been better clarified and put more 'action' throughout it cause as it was, it became abit slow from time to time.",0
"This comedy with much underlying pain and sadness succeeds where most others fail. There have been many films of this genre with more notable actors attempting to achieve this elusive mixture which haven't come anywhere near the depth and deftness of this one. This is surely because the exceptional cast with outstanding performances by Reg Rogers and Ally Sheedy seem so spontaneous that the reality of their characters rapidly grip your interest and emotions and hold them throughout the film. At first, the action seems rather off-the-wall and harebrained but one gradually learns that these two rather pathetic damaged people are desperately and unwillingly trying to heal themselves, even if grudgingly, through each other. Rogers' heartrending facial expressions of numb hurt and Sheedy's angry outbursts are so eloquent that one feels them as one observes them. You will care about these two likable but deeply suffering people and hope that they will succeed because it's in doubt and all hangs on a tenuous emotional thread. Hopefully audiences will get to see more of Reg Rogers and Ally Sheedy as this film proves their merit as very accomplished actors beyond doubt.",1
"I found this flick enjoyable and involving to watch, and I'm surprised it's rated so lowly. Actually I can see why it is; I imagine it's the fans of Eric Roberts and Alyssa Milano that have been giving most of the 1s and 2s, because if you put the tape into the machine expecting to enjoy watching something starring either or both of these two then you could be rather disappointed. Eric appears for about half an hour towards the end of the movie, and Alyssa for about 5 scenes in the second half, and in those she says little and wears less (although never nude if that's what you're looking for, stick with embrace of the vampire). Although they're always a pleasure, it's a pity she, or Eric, don't get much screen-time yet I still give this an 8.<br /><br />",1
"I first saw this absolutely riveting documentary in it's initial release back in 2001,and it really had a profound effect on me, so much that I bugged several of my friends to see it with me on repeat screenings. The bottom line:none of my friends walked away disappointed (ever!). This stellar film is about Scottish conceptual artist, Andy Goldsworthy,who creates some absolutely beautiful pieces of art using natural materials (wood,water,flowers,rocks,etc.)to create pieces that eventually return to their natural form (a statement in the temporary state of everything?). We get to see Goldsworthy create several works of temporary art,as well as some of his long term installations in major galleries around the world,as well as a few pieces in the natural world,as well. German film maker,Thomas Riedelsheimer directs,photographs & edits this meditation on the creative process that is a real treat for both the eye & ear (with an ambient musical score,composed & performed by Fred Frith,who's music is generally edgy experimental/noise textured guitar,as well as a capable ensemble of musicians). Although this film has been available on DVD for some years now,if you can find a cinema that is highlighting a revival of this fine film,by all means,seek it out (it's easily a film that was composed for the large screen,with a proficient sound system to truly experience this film the right way). No MPAA rating,but contains nothing to offend (unless the live birth of a sheep on screen is destined to offend or disturb)",1
"I love this film and it is such a wonderful example of a family jeopardy, a romantic love story, and a very sad story plot. Everything was just so perfect and excellent about this film. It was such a great mixture of actors and actresses and with some laughs and a lot of cries this film deserves to get plenty of awards. With the mention of beautiful scenario, and although I would relate this film to The Notebook and The Family Stone, it was sort of much more cunning, sad, and brilliant than those films. The Evening tells of a love story between an old woman dreaming back to her younger years, and her two daughters stay by her side while she is not well. The story dating back is so strongly told and wonderful I was sitting on the edge of my seat. You really get to know all the characters and by the end, I was wanting to watch it all over again. This is a amazingly sad and vividly acted and plotted movie that is really one of a kind and should be seen by all for how wonderful it really is. All the performances are astonishing and the film captures your attention from the very beginning and never lets go. I loved it, and am so glad that I watched it for it was truly an astonishing film...",1
"Feroz Abbas Khan's Gandhi My Father, a film that sheds light on the fractured relationship between the Mahatma and his son Harilal Gandhi. For a story that's as dramatic as the one this film attempts to tell, it's a pity the director fails to tell it dramatically. Gandhi My Father is narrated to you like that boring history lesson that put you to sleep at school. Now the film aims to convey one very interesting point - the fact that Gandhi in his attempt to be a fair person, ended up being an unfair father. This point is made in the film many times over, and one of the examples given to make this point is that scholarship to England, which Gandhi twice denies his son. Instead of showing us how exactly Harilal dealt with this betrayal and what went on in his head, the director just moves along with the story, thus never letting us be witness to the growing resentment Harilal feels towards his father. Which is why when we finally see an outburst from Harilal, it comes off looking like he's over-reacting. <br /><br />The point I'm trying to make here is that we never really get to understand exactly why Harilal became the rebel that he did. We never really understand why he turned to Islam, and then back again to Hinduism. The thing is, we never really understand Harilal at all. And that's because the director of this film is too busy focusing on Mohandas Karamchand Gandhi and his role in the freedom struggle, a story most of us are already familiar with. To put it simply, Gandhi My Father promises to examine the strained father-son relationship, but it doesn't so much as show us where the cracks in this relationship first set in. We understand Harilal had to live with the burden of being Gandhi's son, but show us why that was a burden to begin with. Show us incidents of their early conflict. For example, it's not enough that Gandhi merely says he's opposed to Harilal's early marriage, tell us why this opposition? It's not enough that Kasturba blames her husband for the way her son turned out - for constantly shuttling him between schools in Gujarat and South Africa, for making him relocate every time Gandhi needed to relocate. Words are not enough, show us how these incidents shaped the character of Harilal Gandhi.What's more, instead of sticking with the prickly theme of this tenuous Gandhi versus Gandhi relationship, the film goes off on too many tangents, thus diluting the impact of the central theme. This was never meant to be a film about the struggle for Independence, and yet on many occasions that's exactly what it seems like, because the director feels almost obligated to take us through all the main events leading upto that historic moment, even though much of it has no relevance to the film's basic premise - the stormy father-son relationship. So you see the problem with this film is not that it's a bad film, but it's certainly a very confused film. What happens to Harilal's children after his wife's death? Does he ever have relationship with them? Where do they suddenly vanish after that one scene in which we see them with the Mahatma and Kasturba? None of these questions are answered in a film that's basically meant to be about relationships in the Gandhi family. The film version of an immensely popular play directed by Feroz Abbas Khan himself, Gandhi My Father is a disappointment, no questions asked.Cinematically, it struggles to translate the filmmaker's ambitious intention to the screen. Practically every single scene in the film opens and closes with fade-ins and fade-outs, never quite seamlessly leading into each other. On the positive side, there is inherent nobility in the film, which you recognise. The filmmaker makes every effort to deliver a balanced narrative, trying hard not to take sides, never once judging either father or son, painting neither as the villain. What the film does do, however, is make clear the fact that Gandhi was a difficult patriarch whose ideals may have shaped the nation, but evidently alienated his family. Of all the actors in the film it's only Akshaye Khanna who really shines in the role of the luck-deprived Harilal Gandhi. It's a wonderful performance, and it's not easy since the role covers virtually the entire lifespan of the character. But Akshaye brings a rare concoction of innocence and despondency to that part and succeeds in making Harilal a pitiable figure. Just watch him in that scene in which he discovers his wife's dead, and you'll realise how much he conveys through body language alone. Darshan Jariwala, meanwhile, who plays Gandhi Senior, adopts a caricaturish approach to playing the Mahatma in his later years, but it's the way he humanises the man in his early years as a barrister in South Africa that is the actor's best contribution to that role. The abundantly gifted Shefali Shah plays Kasturba, the woman who's meant to be torn in this father-son conflict, but if she's unable to bring across that feeling of helplessness then it's really not so much her fault as it is the fault of a rickety script. Much effort's gone into the making of this film and that's evident throughout, but the film suffers from that inevitable flaw that is eventually what you'll remember about it when you leave the cinema - it's just so boring.Director Feroz Abbas Khan's Gandhi My Father is a sincere effort yes, but also a film that could have done with a much tighter screenplay. What we learn from the film is that Gandhi and Harilal made each other very unhappy. And with this film, the director makes us too.",1
"I saw this film again and noticed how close it is to the novel if we ignore the part about Cary's [Leslie Howard] childhood. Considering that<br /><br />at the time not much can be shown on the screen, [not that there is much in the novel] the obsession of the character with Mildred [Bette Davis] is very well conveyed to the audience. I recommend this film to anyone who ever fell for another person and the other side tried to take advantage of him or her. I have read that Maugham was asked to make a recording of the novel for sale, but when he started to in the studio he began crying and could not finish more than a few lines and whole project was chucked. One can tell the novel is written from the heart and the film is a good<br /><br />adaptation of a part of it at least.",1
