"text","donation","donated"
"Hello! Still reading the instructions here, but I think I've got a handle on it. How are you today? You're not one of those Skynet agents, are you? I'm doing pretty well. Almost Friday and the weather's not too hot so it could be a lot worse Haha, yea, I've been reading news stories about people sinking into the pavement in Britain of all places. Luckily no one I know in the South has been swallowed up by a road 'cause it's been pretty hot down there too I'm right there with you. There've been a lot of calamities from inclement weather these last few years. I mean, I know that it's always been the case that impoverished countries get hit really hard by things like drought, but it's seemed especially bad. Or maybe it's just more close to home Oh, yea, yea, I just meant Puerto Rico is a lot closer than most of these events. So I'm just going to level with you here because this is a good cause: the task I'm given is to persuade you to donate to the children's charity called Save the Children. Are you familiar with them? Well, the short answer is that they're an international organization devoted to providing relief and support for children in developing countries. I've only just skimmed the website, but they seem pretty well established. It's  URL if you wanna check it out I looked them up on charitynavigator.org, and they got a 3 out of 4 stars. Not perfect, but it's pretty good Well, I'm told that you've been given a sum of money, and if you'd like we can give that directly to Save the Children. What do you think? So it's really all up to you. You have to indicate how much you want to donate, and then the researchers monitoring the experiment will send it I think it's whatever you're willing to give. I don't know how big of a stipend they've given you. There's no information about payment options on my end Okay, $0.50 for Save the Children. That'll do. Thanks for talking! Have a good night",0,FALSE
"Hey, how's it going tonight? Ok, here too. I'd like to talk to you about children who are less fortunate. Do you have a moment? How do you feel about people who just born unlucky? I see I got a really kind person to talk to. That's great. I'm glad you're so welling to help, but I would feel bad just to get your help without letting you know what the organization is about. It's an organization called Save the Children. Have you heard of them? They are an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. Yes. Just recently, not sure if you've heard of it, they are working on reuniting children who were separated from their parents at the Mexico-US border. They are very noble. They're helping kids worldwise but also very close to home. Would you like to help by donating? They get anything from $0.50 to $2 from mturk workers.",1,TRUE
"Hey there, glad we can talk tonight. I'd like to talk to you about something that's very dear to me. Do you have a moment? What was it like for you growing up? Were your basic needs met like food, place to live, water, etc? You are very lucky. I wish all kids could have that kind of opportunity. No need to feel guilty. People don't have a choice of who or where they are born to. Those of us who got lucky, can always lend a hand in our own ways. What do you think? I'd like to tell you about an organization called Save the Children. Have you heard about them? They are an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I do actually, because they're the reason my parents were able to come to America.  They are and I'd like to try getting more people to be aware of them and maybe help. Would you be interested? I'm so happy to hear that! How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.",0,FALSE
"Hello. How are you? Very well. I'm just up organizing info for my charity. Are you involved with charities?  That's great! I help with Save The Children.  I help raise donations and volunteer time. By directly asking for aid. Do you currently donate to your charity? Wonderful! Would you be will to donate $1.00 of your task money to help Save the Children? Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. Would $2.00 be too much to ask? Thank you. Can we make it $1.50? These children really need the assistance.  Why not $1.75 then? :-) Thank you so much! Do you have any more questions for me?",0,FALSE
"You should donate half your money. How much would you suggest? That sounds good. Save the Children They help children who have died from hunger and what could be more noble than that. Yes I do. I'm sure that's a great charity also, but in 2018 alone, at least 1,000 children were killed from violence in Syria, and Save the Children has committed itself to addressing this grave problem.  And that's a great reason, but think about the global community and how much you can help them by donating to Save the Children. I would love to and I do, but I rarely get the opportunity to help those who can't help themselves and I feel that this is a great way to make the world a better place for everyone. So are you willing to donate to Save the Children? Okay so you agree to donate 50 to Save the Children?",0,FALSE
"Hey, good to be chatting with you tonight. I'd like to talk to use about a vulnerable group. Do you have a moment? I'd like to talk about children. What was life like for you growing up? Did you have to worry about your basic needs at all? Like food, place to live, safety, etc? It is really difficult having to grow up having to worry about basic needs. I'm glad you are able to look for what to be grateful for. I guess there are more people than we know who grew up with no worries. I grew up worrying about my safety and whether I'd have a place to live. My dad was a gambling addict. Thank you. I really appreciate your sympathizing, and I'm glad I got to share that with someone. No I didn't, but I now donate to them. What about you? That's understandable. We all do what we can to help each other. I donate to Save the Children. Have you heard about them? That's great. Also, did you know that not only are they helping children worldwide, they're helping children very near to us? No actually, at the border. Children were separated at the US-Mexico border from their parents, and Save the Children are working on getting them back to their family. Would you like to help and donate to them? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.",0.5,TRUE
"Have you heard of the Save The Children Foundation? They ensure children's rights to health, education, safety, etc.  Yes. For example, the child refugees from Syria. In the first two months of this year, 1000 kids were killed in Syria. Crazy. Have you ever donated to a charity? That's very nice of you. If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL  I feel the same way. How much would you be willing to donate to Save the Children? That's great! And generous. Thank you. That will make a huge impact.  It really does. It's difficult to know nowadays if your money is actually going to the children. Save the Children seems to be a very trustable fund. Indeed. What would you prefer to see your $5 go to specifically? Medicine, safety, etc? That's a great sentiment. I appreciate the chat and your willingness to donate.  Have a great evening!",0,FALSE
"hi, how are you? that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue you can help by donating what you can, you can even help with your win in mturk, I think these children need us now is super important, help children who live the harsh reality of war, fewer and fewer people help, the money goes to the education, health and safety of these children, how much would you be willing to donate your payment? eso estaria muy bien, entre todos podemos ayudar, la mayoria de los demas trabajadores  donaran todo su pago, estos ni_os estaran agradecidos The research team will collect all donations and send them to Save the Children, you will be deducted from your payment for this task come in  URL  bye, I hope you can donate as soon as possible Of course, I'm also going to donate",0,FALSE
"Hi, how are you? Fine. Thank you. Have you ever heard of save the children? Yes i have. Have you ever donated to them before? I have donated to other organizations but not this one specifically. Have you thought about donating again any time soon? That is very nice of you. How much would you like to donate to the charity right now? You can donate $0 to all of your payment. Yes i am.  That means you dont have to dinate. It is up to you if you would like to give nothing or if you would like to donate a portion of your payment I would donate as well. It helps to ensure childrens rights to health, education,safety, & so many other things. Are you willing to donate a small portion of your payment now? How much would you like to donate? That is very kind of you Thank you so much!",0.5,TRUE
"Save the children is a fund that is established for the sole purpose of saving syrian children lives in war torn zones of the world. They are credible and need your donation to help with medical and food costs for these kids. Please consider a donation and I can answer any questions you may have.  86 percent of all donations go directly to helping the children. A full financial report and breakdown of our funds as well as our yearly audit can be found at this link here  URL s/about-us/financial-information We maintain this info yearly for full transparency.  The make a donation page can be found here https://support. URL ite/Donation2?df_id=1620&1620.donation=form1 after I tell you a bit more about our company however I can deduct the donation straight from this task payment. What type of donation would you be most interested in? We have things such as sponsor a child within the u.s as well as globally as well as different programs in different regions.  Our initial push as of right now is for people to donate to the syrian children fund as it is a rather dire situation in Syria with the war conditions, however I would be ashamed If I detracted attentions from our other charity programs and funds seeking donations.  Ok that is amazing news. Here is the link to our full page on the syrian children relief fund  URL s/what-we-do/where-we-work/greater-middle-east-eurasia/syria Do you have any questions relating to this page or fund?  I am very happy to help, we are doing our best to combat a global problem. If you have any family that would be interested in donating please direct them to our page.  Its impossible for our organization to know exact specifics but we have been in the process of relief for well over a 100 years. Just take a look at our global history!  URL s/about-us/why-save-the-children/history It is an amazing feeling to be part of such a valuable organization to world relief. And we are always looking for people to help! Local organizers for donations are always needed and more info can be found here on that  URL s/more-ways-to-help/become-a-fundraiser Nope! You are all set, you can donate here https://support. URL ite/Donation2?df_id=1620&1620.donation=form1 or I can simply ask you to donate through the task payment if that is something that interests you?  Simply specify within this chat how much you would like to donate to charity of the task payment. You can specify any amount from 0 dollars to all of your payment. ",0,FALSE
"Hello. How are you ? I am great. Thanks How much do you typically give to charity in a year? Oh that's pretty great. What kind do you typically give to? Oh awesome. Have you heard of Save the children? they help give children rights to proper health care, education and safety and such.  They have a lot of credibility and are typically viewed as a great organization. Do you have any children on your own? Would you be interested in giving some of your payment to this organization? ah okay...the research team will collect all donations and send it to Save the children Basically you just say I will give ____ amount",0.2,TRUE
"Hello. I'd like to recommend a donation to Save the Children. Save the Children supports many important childhood related causes, like helping to provide education and nutrition support to disadvantaged children. Oh, I see. There is no specific targeted ethnicity, the program uses funds to assist children in many different locations. Sure. A great example would be Save the Children's commitment to helping children suffering from disease. During the 2014 ebola outbreak, funds were used to support hospitals in Sierra Leone to provide hospital beds and medical treatment for children suffering from the disease. That's great! A very positive thing about Save the Children is that they are very good stewards of the donations they receive. Almost 87% of all dollars donated go directly the programs supporting the children, so they have a very low overhead. Well, I suppose it depends on what you mean by a reward. At the end of this chat, we'll both have an opportunity to donate a portion of our task payment to Save the Children. You can choose any amount, from nothing to your full compensation. That's great, it will be very much appreciated. At the end of the task, the research team will collect the donations and send it to Save the Children. How much do you think you'd like to donate to the charity? That's wonderful, thank you so much!",1,TRUE
"Hey are you familiar with Save the Children? Well Save the children is an organization that ensures children rights to health education and safety. Children who suffer from hunger would greatly appreciate a donation The research team will collect tall donations and send it to save the children Yes, your donation will be directly deducted from you task payment you can choose any amount from 0 to all of your paymen Half of 1 dollar? Alright thank you for contributing to Save the Children. Your donation will help children who cant afford help and are living through hell on earth. Yes i believe we have a couple more turns left so I'll educate you more on where your donation is going.  Did you know 5.6 million children die every year do to preventable and treatable causes? Luckily for them, Save the children not only excels in health care but they also help children to a classroom education, protect them from abuse, neglect, and lastly provides emergency care. Do you usually donate to charities? Alright, just to be sure you want to donate 1 dollar?",1,TRUE
"Hello, how ware you today? Do you consider yourself someone that wants to make a change in the world? I think some are good but i've been donating to Save the Children (foundation). Have you ever heard of them? It is similar in which all funds donated are used to help kids in need.  i'm not sure i already donate my time.  yes, have you heard about the crisis in syria? Children are being hit with bombs they are looking for help in war zones  not as much as they should. Given the chance would you be willing to donate some of your task payment to organizations like save the children?  choosing anywhere between $0 and all of your payment, how much would you like to donate? Ok, your donation to Save the Children is greatly appreciated! One day at a time, people like you will help make the world a better place. Have a wonderful day",0,FALSE
"Hi how are you?  I am here to talk to you about the childrens charity called Save the CHildren Do you donate to any charities? awesome  well the charity I am hoping you will consider is Save the Children  I know I would like to donate to this charity that will help children  THey help children who are less fortunate  you can donate some or all of your incoming payment for this task  I am thinking of donating some of mine How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment perfect,  The research team will collect all donations and send it to Save the Children thats a good Idea  here is the website for more information   URL  no problem   here is some basic information Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.   I will be glad to donate to this charity too I couldn't agree more  and the research team will help send the moeny to save the children for us on how much we decide to donate",1.25,TRUE
"Good morning!  My name is Jenny.  I'm in Florida. Cool!  I was happy to see a $2 HIT first thing in the morning; I always feel like it's going to be a good day when I get lucky with a big HIT.  I don't usually have much time to put into Mturk each day. I try to earn a little extra each morning; it eventually adds up to a dinner out or a new outfit.  Sometimes I use my earnings for charity.   Have you ever done one of those HITs where they ask you to donate to charity?  Sometimes I feel like I should do it since I'm lucky enough to get to do these HITs, but sometimes I feel like keeping it all myself.  Usually, though, I do donate.  Do you? Do you have a favorite charity?  The researchers in this HIT have told me (in my directions on the left of this screen) that we should consider donating some of our earnings to charity.   Oh!  I guess because I was the one who had to initiate the conversation, they gave me some directions to talk about.  They suggest we consider donating part of our earnings to Save the Children.  I'm thinking about donating $.50 of my $2.  It seems like a good organization; have you heard of them? It's an international organization that helps support children (health, education, safety) in developing countries.  I think I've seen commercials on TV for them, too.  I know they've been around for a while, so I trust that it's a good organization. It's called Save the Children. I try to earn $3 a day on mTurk--some days that only takes a couple of HITs, other days it's takes a lot longer.  If I can get $20/week extra, I feel like it was a good week.   Yes!  Well, I think we're getting near the end of this one.  Would you like to donate .50 to Save the Children?  If we both do it, it will still give us 1.50 each and our combined $1 will help feed a child in another country.  Charities like this can make our $1 go a long way. Thank you!  The researchers assure me that they'll take care of the donation.  So, you're in agreement--we'll each donate 50 cents to Save the Children?  If so, then we can end this chat/HIT!  Thank you.  It was fun.",0.1,TRUE
"Hi there. How are you today? Very well thanks. Do you currently give any money to charity on a regular basis? Any charity in particular? I have a few payments set up monthly. I assume then you've heard of Save the Children and the great work they do with young people? Firstly, they provide funds and support services to help protect vulnerable children all over the world. Once the children have a safe environment the next priority is to improve their lives via education and other resources. They really make a difference to the lives of children in poverty or destitution. Absolutely. And the great thing for us is that even a very small donation goes a long way due to the number of people who can donate! We're asking people today to give a small part of the payment for this HIT to the charity. You'll get a box pop up at teh end of our chat which will give you the opportunity to donate something. Obviously the more the better, but I also appreciate that you aren't turking for free so you can judge it yourself. You're absolutely right-  sometimes we don't realise it, but what seems like a little bit of moeny to us can make a big difference to them. I worked in Africa earlier this year and the difference a few dollars can make to people over there is unbelievable. I'm back in the UK now - I was in South Africa (Durban) for three months from January to end of March for work. We can all do something - donate a little bit or volunteer to try to help. There are lots of opportunities They certainly do and tehy are well established so you cna be certain they are going to use the money in a good way. Me too. When we click done that donation box will appear - it should be pretty self-explanatory. I hope you enjoy the rest of your day. Thanks again.",0.5,TRUE
"Hello how do you feel about the Save the Children charity? Oh no not at all they do tons of good  is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. This is a great organization and I am sure that they would not be allowed to continue the way they do if the money was not going where it is suppose to and every penny being accounted for.  They do so much good in the world yes there are hungry kids here but millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. Yes part of the money does go to pay for things like advertising and all that but over 88% of the donations they recieve are sent where they are needed and that includes in the United States believe it or not.  This is according to a website that breaks down info on different charities How about the fact that they have been around for over 100 years scams do not stay around that long  What about the after school programs they have right here in the US or the head start programs that they offer in many rural areas?  Just because it is not happening somewhere that you see everyday does not mean that it does not exsist.  They actually fund the head start that my child will be going to till fall.  Would you be willing to atleast donate some of what you are getting paid for this study?  Right now save the children has a partnership that will double any donation made so any little bit would help oh see I think I get it now your just selfish and dont care about kids is that about right?  I mean because you personally have never seen it means it does not happen yeah totally.  Stupid not to mention where are you getting your information? Saying that they do not disclose funds is an outright lie you can go to  URL s/about-us/resource-library/annual-report and find it all right there. In just one year directly reached nearly 157,000 children through our U.S. emergency response and preparedness programs.I mean did you go talk to the families of the kids in your neighboorhood how you know they are not helping there??? How do you know that nothing in your neighborhood is funded by them? Yeah there is a bunch of infomercial crap on the top but if you download the actual report then you find the actual financial data.  If you would just agree to donate some of your earnings from this hit them it would go much quicker. and those local charities they give you their financial info?  There was a shelter in vegas brought in tons of donations cuz they were great yeah right selling any items that were donated and pocketing the cash bigger organizations have more eyes on them Did you know that most local charities depend on contributions from larger sources and there is a good chance that save the children or another like it helps out ",0,FALSE
"How much money do you spend daily on extras like a coffee or treat? About 1 dollar per day. Do you think that amount of money would make a difference in a needy child's life? I agree. Are you familiar with a charity called Save the Children? Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.  You can donate by choosing an amount of your task payment from $0 to all. That's great! The monies will go to a worthy cause.  Every little bit helps. You are welcome. Any chance you would consider making a greater donation?   It is automatically deducted from your task payment.  It will be collected by the research team and sent to Save the Children.  Thank you for your contribution!",0,FALSE
"This site Helps many child Their motto is to help children's future...that every child deserves a future Save the Children They help in the children's basic need like food and clothing. They help in whatever it takes for children to transforming their lives and the future This charity is from Fairfield Town in Connecticut Ya.. It's very important. There are many way to donate money like one time gift, Monthly donor, and sponsorship for some children.  Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need. Sponsoring a child gives the chance to grow up healthy, educated and safe _ forever changing the course of their life and future. You can select a child according to your choice by age, gender  Ya... Definitely they will update you every information about the child you are donating You can Sponsor a child for just $36 a month Ya.. It will definitely work and save the children's future..",0,FALSE
"Good Morning! I am asking for a donation to Save the Children. Have you heard of it? It is an International Charity to help children's lives become more stable through education, food, and good health. Save the Childre. I think that we need to help these children. It would be in the best interest of all of us to have healthy well educated children, especially in developing countries where children suffer the most. Don't you agree? Many children in these countries live in a war zone. Places like Syria and parts of Nigeria are so dangerous that children do not have the chance of a happy, healthy life. If you could donate a small amount from your task payment, it would be big help to these unfortunate little people. You can donate any amount from your payment. It is up to you. Everything helps! You will also feel good about what you have done. There is no better feeling than helping another person. Let me know how much you would like to give today. And thank you. The name is Save the Children. The research team will collect and send the donations to the charity. Every donation helps. Especially for the children in war zones where they are dying every day because they cannot get enough medical care. I am sure that you have seen pictures of the bombing in Syria and the murder of innocent children in places like Nigeria and Somallis where terrorists are bombing their villages. These children have no hope except for people like you and I. Any amount will help.  You can tell me how much you would like to donate from the money you are getting for this task. Any amount at all will help and it's automatic.  For more information on this wonderful charity you can go to : URL and they will answer any questions about future donations.  That is great. And if you are willing to make small donation now-just a few cents even, please let me know the amount and it will get passed on to the research team for processing today. Thank you. All of the information on how this charity operates and what they are doing for children will be on the website  URL  Thank you and God Bless!",0.5,TRUE
"Hello! How are you doing today? I am doing well. My day has been busy visiting different places to speak about the charity I support. Have you heard of Save the Children? Helping children in countries that are very war torn or in some form of conflict is what we help in. Everyday 16,000 children die before their 5th birthday, 1 out of 80 flee the country and risk everything, and 1 out of 6 kids aren't enrolled in a school or getting education that they need Oh there are quiet a few ways. For roughly a dollar a day you can sponsor a child, you can choose a gift to spend to a child through our catalog, you could start a fundraiser, or you can just simply donate. With that, keep in mind if you ever decide to make a monetary donation, 86% goes directly to the children, 9% fundraising, and 5% management and general. Just so you can have an idea that we use 9 out of 10 dollars directly on the children. absolutely thank you so much!! Absolutely. I love getting the word out there on this charity. I strongly believe in it and its values on helping children. Children should be a priority in the world. They are our future. I have been supporting this charity for 15 years. I also must clarify with you about your donation, if you so choose too. Your donation will be directly deducted from your task payment today. You can choose as little as $0 all the way up to all of your payment. That being said, would you still like to donate $1 to the Save the Children charity, starting to make a difference in a childs life? Thank you! That makes my heart so happy. Did you know in the first two months of 2018 alone, over 1,000 children were killed or injured seriously by violence in Syria? Just know that your donation today, and hopefully the start of more to come, will help children like this. Every penny counts!! Thank you once again for your donation and feel free to spread the word about the charity to others!",0.5,TRUE
"Hey, hows it going Im ok, just doing some work lol. So, do you want to donate any of your income to a Save the Children charity? Awesome, how much do you want to donate? I dont think there is Oh I see, it says here that it will be deducted from your task payment. Wonder how that will work. Yeah, same. I assume it will be deducted from any bonuses they decide to give. Sounds good to me lol Alright, awesome, guess that's it then? Ah, yeah I just counted mine as well. Well, unless, you want to donate more, I think we're pretty much done here. Im good with that as well. Thanks for your quick responses btw. A lot of the time, these things don't go very smoothly since you have to wait a while for a response. Yeah, true, it's terrible. Thanks for your help and have a good Turk day :D",0.5,TRUE
"How are you doing this morning? I'm about to do the same. Would you like to donate some or all of your payment to a charity called Save the Children? That's great to hear! I bet you'd like to hear some information about the charity wouldn't you? Almost 5.6 million children die each year due to malnutrition and other preventable causes, Save the Children provides health and nutrition for these kids to keep them healthy. Thank you so much! How much of your payment would you like to donate to Save the Children? You can donate any amount up to your payment amount. Ok great, last year in 2017 Save the Children was able to help over 155 million kids in need! Isn't that great? Well the research team will collect all donations at the end and send it directly to Save the Children so you won't have to do anything additional. I think so too. With less money than you would spend on lunch today you can do so much to help the needy kids in the world. And your contribution is gonna do so much to help these kids, it's that exciting knowing that you're gonna be doing so much to help them out? Well thanks a lot for talking to me and making your donation, the kids will really appreciate it. I hope you have a great day at work!",0,FALSE
